"sentence","target word","cloze probability","Log Hal Frequency","Phonological Neighbors","Semantic Neighborhood Density","Response Entropy","densityA","densityB"
"Stacy was cold but couldn't get her jacket to __________.","zip","0.6000","9.72","14","0.53","2.1100","1","13"
"Claire moved into her apartment soon after signing the __________.","lease","0.9300","8.11","26","0.58","0.4500","10","24"
"Sadly Mark was sentenced to jail for one __________.","year","0.8100","12.42","29","0.69","1.2300","660","17"
"The soldier would be away from home for a __________.","year","0.5100","12.42","29","0.69","2.0600","660","17"
"The family enjoyed the zoo, especially the large __________.","elephants","0.3900","7.19","1","0.56","3.1000",\N,\N
"People flocked to the zoo to see the adorable __________.","panda","0.3600","6.79","2","0.47","3.1700","1","1"
"In these woods there are no longer animals to __________.","hunt","0.5900","9.64","9","0.65","2.5200","10","8"
"The athlete was disgraced after testing positive for __________.","steroids","0.4500","7.25","0","0.51","1.8300",\N,\N
"Several girls fought over the store's last remaining __________.","dresses","0.3300","7.76","2","0.57","4.2100",\N,\N
"She never recovered because there was damage to a __________.","nerves ","0.4200","7.78","4","0.56","3.3700",\N,\N
"On the lawn, Patrick tripped where the dog had __________.","dug","0.3100","7.96","22","0.56","2.8900","16","21"
"Please do not step into the hole that I __________.","dug","0.9000","7.96","22","0.56","0.6300","16","21"
"The men almost fell into the hole they had __________.","dug","0.9500","7.96","22","0.56","0.3500","16","21"
"They would bury their dog in a grave they __________.","dug","0.9300","7.96","22","0.56","0.4500","16","21"
"His mother refused his request, but Craig continued to __________.","ask","0.3400","11.84","1","0.63","3.2600","128","3"
"The black bug turned out to be a harmless __________.","beetle","0.4300","6.93","6","0.55","2.9000","1","5"
"One of the most endangered insects is the African __________.","beetle","0.3100","6.93","6","0.55","3.6300","1","5"
"Alexander placed the car key in the __________.","ignition","0.5200","7.68","0","0.56","3.0100","5","0"
"During winter, the snow completely covered the street __________.","signs","0.3400","9.61","22","0.65","3.8600",\N,\N
"Ben cleaned out his blocked sinuses with a saline _________.","solution","0.5700","10.86","1","0.65","1.8800","59","0"
"The woman was cold because her legs were __________.","bare","0.4600","9.05","34","0.59","2.3100","86","21"
"On casual Fridays, the staff wears pants made of __________.","denim","0.5700","6.37","1","0.43","2.3700","1","3"
"Isabella's new, trendy jacket was made of __________.","leather","0.4800","9.35","13","0.59","2.8100","24","10"
"Most of the college students wore clothing made of __________.","cotton","0.5400","8.65","4","0.62","2.4700","38","5"
"Despite moving, deep down the couple remained city __________.","folk","0.3200","9.39","13","0.64","2.7900","34","13"
"She couldn't fall asleep so she took a __________.","pill","0.6700","7.94","39","0.48","2.0700","15","32"
"Before bedtime, the elderly man had to take a __________.","pill","0.5400","7.94","39","0.48","2.4200","15","32"
"When the weather gets warmer, the birds head __________.","north","0.7000","11.25","4","0.68","1.1900","206","3"
"To George, the convincing replica sword appeared __________.","real","0.5100","12.20","1","0.69","2.5500","260","12"
"Jaden was surprised that the wax figures weren't __________.","real","0.6500","12.20","1","0.69","1.8300","260","12"
"The teller didn't think the man's money was __________.","real","0.7200","12.20","1","0.69","1.7900","260","12"
"George asked whether or not the artifact was __________.","real","0.5800","12.20","1","0.69","2.2200","260","12"
"The frightened children believed the monster costume was __________.","real","0.7000","12.20","1","0.69","1.1200","260","12"
"Emma thought the plastic fruit on display was __________.","real","0.4800","12.20","1","0.69","2.8500","260","12"
"These seagulls usually rest on a very high __________.","perch","0.4100","6.65","16","0.49","3.3500","1","15"
"Most blue food gets its coloring from chemical __________.","dyes","0.4400",\N,\N,\N,"3.0800",\N,\N
"After reading, Jane marked her page with a __________.","bookmark","0.6800","7.45","0","0.31","2.2800",\N,\N
"The healthy salad came with bitter, leafy __________.","greens","0.3300","7.63","2","0.55","2.6100",\N,\N
"The preservation wanted to protect a snake that was __________.","endangered","0.7600","7.93","0","0.57","1.8100",\N,\N
"The breeder had a stallion but lacked a __________.","mare","0.7200","7.27","33","0.56","2.0300","16","21"
"The lonely stallion needed the company of a __________.","mare","0.6800","7.27","33","0.56","1.9800","16","21"
"Bothered by the fly, Becca rolled the newspaper to __________.","swat","0.6600","6.87","15","0.49","2.2900","1","13"
"She said her grandmothers words were words to __________.","remember","0.4100","11.87","0","0.62","3.6600","138","0"
"After the huge tsunami hit, many people lost __________.","homes","0.4000","9.19","13","0.65","2.7400",\N,\N
"Iceland is known for its green valleys and wooded __________.","forests","0.5000","8.19","1","0.59","2.6400",\N,\N
"The postman walked up and handed the man his __________.","mail","0.7200","12.47","46","0.64","1.1100","84","31"
"She received the acceptance letter in the __________.","mail","0.9600","12.47","46","0.64","0.3200","84","31"
"Struggling with bills, the band was desperate for any __________.","gigs","0.5300",\N,\N,\N,"2.4900",\N,\N
"I thought there would be long lines but there were __________.","none","0.6900","11.41","23","0.66","1.4700","110","20"
"Becca took all of the cookies and left me __________.","none","0.7300","11.41","23","0.66","1.6600","110","20"
"They had hope for several fish but there were __________.","none","0.7600","11.41","23","0.66","1.6100","110","20"
"While camping, the child slept on an uncomfortable __________.","cot","0.4200","6.30","30","0.32","2.9700","1","30"
"She hated hard chairs and she wanted a __________.","cushion","0.3200","6.72","2","0.44","3.0500","8","1"
"The unmarried man lived in a bachelor __________.","pad","0.9400","8.88","24","0.57","0.4800","8","22"
"Soon after the baker brought out the cookies, they were __________.","eaten","0.3400","8.36","3","0.56","2.5900","12","1"
"Caroline becomes upset when she's told to wait a __________.","minute","0.5800","10.30","1","0.65","2.0700","53","3"
"To cross the small stream would only take a __________.","minute","0.4900","10.30","1","0.65","2.8400","53","3"
"The young man was usually groggy when he __________.","woke","0.8000","8.08","16","0.44","1.3100","14","16"
"Henry hated the spring because the weather was always __________.","rainy","0.3800","7.26","11","0.56","3.1600","5","5"
"Brian was short of a dozen eggs with only __________.","eleven","0.4000","8.05","0","0.65","3.2000","40","0"
"Sara couldn't wait for her trip to the __________.","zoo","0.3100","8.37","28","0.60","3.9400",\N,\N
"For Eric's baked potato, he needed fresh, green __________.","chives","0.5500","4.66","8","0.34","2.0000",\N,\N
"Rick will probably feel cold if his head is __________.","uncovered","0.3500","7.57","1","0.57","3.1300",\N,\N
"The eager shoppers left no clothes on the __________.","racks","0.9000","7.28","20","0.49","0.5800",\N,\N
"The unfit boy couldn't even run a single __________.","lap","0.4300","8.76","27","0.57","1.8800","19","25"
"The movie director was not pleased with one __________.","actor","0.3800","9.26","3","0.64","2.5500","24","2"
"Margie has the time management skills that many students __________.","lack","0.5700","10.62","35","0.67","2.6500",\N,\N
"Before placing each brick he applied a glob of __________.","cement","0.4600","7.64","1","0.58","1.8300","11","0"
"Ali must be careful, as her skin is so __________.","sensitive","0.4700","9.45","0","0.62","2.6100","59","0"
"The door was really heavy, and wouldn't __________.","budge","0.6500","6.23","14","0.34","1.4900","3","14"
"The young boy loved listening to the train __________.","whistle","0.5800","7.89","2","0.55","2.6100","4","3"
"To enter the building, you must show your __________.","id","0.3800","11.31","18","0.62","1.9500","1","11"
"The explorer was terrified to encounter a wild __________.","boar","0.3500","6.03","35","0.48","2.5900","25","25"
"To get chewing gum off the floor she needs to __________.","scrape","0.4300","7.04","1","0.33","2.3400","3","2"
"In search of a neutral colored couch, Bob picked __________.","beige","0.3300","7.19","12","0.40","2.7900","1","8"
"To quickly cure a bad headache, take one __________.","aspirin","0.6000","7.12","0","0.46","2.0000","3","0"
"While fishing, Ryan dropped the worm which began to __________.","wiggle","0.3200","6.93","4","0.27","2.5900","1","4"
"He blew out his cigarette smoke in a small __________.","puff","0.3400","7.09","13","0.41","2.7200","1","14"
"The three children had a lot of corn to __________.","shuck","0.4700","4.52","19","0.20","2.0500","1","17"
"The family danced to a lively Irish __________.","jig","0.6700","6.79","16","0.32","1.6300","8","15"
"The host made the whole room dance an energetic __________.","jig","0.3700","6.79","16","0.32","3.7600","8","15"
"On the whale hunt the villagers used a __________.","spear","0.4500","7.40","12","0.56","2.0200","7","13"
"To keep her hands warm Katy wore a fur __________.","muff","0.3500","5.85","16","0.26","2.7600","1","17"
"The basketball team was excited because they won the __________.","championship","0.4500","8.87","0","0.61","2.2300",\N,\N
"The girl despaired because her future seemed __________.","bleak","0.6900","6.58","9","0.47","2.1100","10","7"
"The boy's mother cried as her son left for __________.","college","0.4400","11.26","3","0.66","1.9800","267","3"
"The knight put his sword into the leather __________.","sheath","0.5400","6.79","15","0.48","2.3400","4","10"
"The young man quickly pulled the sword from the __________.","sheath","0.3900","6.79","15","0.48","2.9000","4","10"
"Joan thought the antique sword was dangerous without a __________.","sheath","0.5300","6.79","15","0.48","2.4900","4","10"
"Some animals carry their offspring in their __________.","pouch","0.6200","6.72","9","0.44","1.2700","2","10"
"The doorway was decorated with a colorful __________.","wreath","0.3500","5.66","17","0.43","3.9200","8","17"
"The washing machine destroyed the old jacket's __________.","lining","0.3400","7.46","8","0.55","3.5000","2","3"
"The toddler cheerfully sat in the dirt and __________.","played","0.8800","11.10","16","0.66","0.8900",\N,\N
"The artist loved to work with colorful __________.","paints","0.7200","7.25","4","0.56","2.0700",\N,\N
"At the petting zoo, the boy cried after being __________.","bitten","0.6600","7.19","7","0.44","2.3400","3","8"
"The patient's condition stemmed from a mutation in a __________.","gene","0.7200","10.15","17","0.62","1.4700","9","14"
"After years of working various jobs, Karen found her __________.","calling","0.3900","10.55","10","0.67","2.4700","45","2"
"Burst pipes forced workers to shut off the water __________.","main","0.3900","11.21","40","0.69","2.8200","119","27"
"The baby laughed when he saw the bunny __________.","hop","0.6800","8.41","15","0.60","1.5900","2","19"
"The silly game required using one leg to __________.","hop","0.5300","8.41","15","0.60","2.3100","2","19"
"The country boy disliked when people called him a __________.","hick","0.3100","6.07","29","0.33","3.4100","1","25"
"Sally's parents bought the car but she paid for __________.","insurance","0.6400","10.18","1","0.63","1.5400","46","0"
"Jean was impressed the tapestry was made using a __________.","loom","0.4700","6.47","22","0.41","2.8200","6","18"
"The yarn was woven into textiles using the __________.","loom","0.5300","6.47","22","0.41","2.2800","6","18"
"Jerry wanted to weave yarn so he needed a __________.","loom","0.5600","6.47","22","0.41","2.6800","6","18"
